Record_ID,Mission_Name,Mission_Type,Lead_Country,Lead_ISO_Code,Lead_Country_Region,Operation_Location,Operation_Region,Threat_Level,Command_HQ,Operation_Start_Year,Operation_End_Year,Duration_Years,Mission_Phase,Troops_Deployed,Air_Assets_Deployed,Naval_Assets_Deployed,Casualties,Casualties_Rate_Pct,Mission_Cost_M_USD,Cost_Per_Soldier_USD,Contributing_Countries_Count,NATO_Led,UN_Mandate,Mission_Outcome,Mission_Status,Classification,Media_Coverage,Public_Support_Pct,After_Action_Report
1164,Operation Viking 01164,Combat,Sweden,SWE,Northern Europe,Libya,Africa,High,LANDCOM,2015,2020,5,Transition,11912,159,11,383,3.215,491.43,41255.04,12,Yes,Yes,Ongoing,Transitioned,NATO Confidential,Minimal,79.3,Classified
1165,Operation Swift Response 01165,Disaster Relief,Croatia,HRV,Southern Europe,Iraq,Middle East,High,ACO Mons,2003,2006,3,Transition,7340,167,6,196,2.67,4150.74,565495.91,12,Yes,Yes,Ongoing,Concluded,NATO Restricted,Medium,47.3,Pending
1166,Operation Pacific Watch 01166,Search and Rescue,Luxembourg,LUX,Western Europe,Black Sea,Europe,Medium,JFC Brunssum,1998,2000,2,Execution,43499,77,34,307,0.706,11795.52,271167.61,25,Yes,No,Mission Accomplished,Planned,Unclassified,Medium,77.7,Pending
1167,Operation Iron Resolve 01167,Reconnaissance,Slovakia,SVK,Central Europe,North Sea,Europe,Low,JFC Brunssum,2022,2024,2,Transition,5004,119,4,156,3.118,3583.68,716163.07,18,Joint UN-NATO,Yes,Mission Accomplished,Transitioned,Unclassified,Minimal,84.1,N/A
1168,Operation Arctic Patrol 01168,Reconnaissance,Poland,POL,Central Europe,Mediterranean Sea,Europe,Low,JFC Naples,2015,2016,1,Deployment,56059,13,1,431,0.769,11023.62,196643.18,16,No,No,Partially Successful,Active,NATO Restricted,High,24.6,Classified
1169,Operation Rapid Falcon 01169,Amphibious Exercise,Denmark,DNK,Northern Europe,Ukraine Border,Europe,High,MARCOM,1979,1992,13,Drawdown,40633,175,21,1322,3.254,5349.82,131661.95,29,Joint UN-NATO,No,Ongoing,On Hold,Unclassified,Medium,29.4,Pending
1170,Operation Anaconda 01170,Disaster Relief,Lithuania,LTU,Northern Europe,Lebanon,Middle East,Medium,JFC Brunssum,1962,1971,9,Drawdown,32140,147,16,75,0.233,1136.5,35360.92,31,No,Yes,Transitioned to UN,Active,NATO Restricted,Low,84.7,Published
1171,Operation Steel Horizon 01171,Air Policing,Bulgaria,BGR,Eastern Europe,Libya,Africa,High,SHAPE Belgium,1982,1990,8,Planning,3065,56,5,69,2.251,338.55,110456.77,12,Yes,No,Successful,Suspended,NATO Secret,Low,41.2,N/A
1172,Operation Aegis Guard 01172,Training Exercise,Denmark,DNK,Northern Europe,Horn of Africa,Africa,Medium,AIRCOM,1977,1989,12,Transition,74034,129,17,1317,1.779,810.2,10943.62,32,Joint UN-NATO,Yes,Mission Accomplished,Active,NATO Confidential,Minimal,79.3,Classified
1173,Operation Silver Lance 01173,Humanitarian Aid,France,FRA,Western Europe,Adriatic Sea,Europe,Low,ACO Mons,2011,2017,6,Deployment,39899,180,31,175,0.439,7258.92,181932.38,19,Yes,Yes,Successful,Concluded,NATO Confidential,Low,89.5,N/A
1174,Operation Dynamic Front 01174,Special Operations,Latvia,LVA,Northern Europe,Libya,Africa,High,LANDCOM,1994,2005,11,Transition,17219,39,8,142,0.825,55.11,3200.53,31,No,Yes,Mission Accomplished,Concluded,Unclassified,High,26.3,Classified
1175,Operation Glacier Watch 01175,Combat,Poland,POL,Central Europe,Eastern Europe,Europe,Medium,ACO Mons,1992,1995,3,Deployment,59402,139,35,744,1.252,7803.72,131371.33,10,Joint UN-NATO,Yes,Partially Successful,Transitioned,NATO Secret,Medium,46.1,Published
1176,Operation Rapid Falcon 01176,Counter-Terrorism,North Macedonia,MKD,Southern Europe,Red Sea,Middle East,Medium,AIRCOM,1999,2008,9,Execution,2796,161,21,94,3.362,10577.93,3783236.77,2,Yes,Yes,Successful,Completed,NATO Confidential,High,77.8,Published
1177,Operation Thunder Wolf 01177,CBRN Response,Greece,GRC,Southern Europe,Red Sea,Middle East,Medium,JFC Brunssum,2012,2023,11,Deployment,460,170,26,13,2.826,8435.92,18338956.52,30,Joint UN-NATO,Yes,Ongoing,Suspended,Unclassified,Low,37.6,N/A
1178,Operation Freedom Sentinel 01178,Maritime Security,Finland,FIN,Northern Europe,Libya,Africa,High,STRIKFORNATO,1974,1985,11,Planning,73383,39,3,1088,1.483,6227.7,84865.7,10,Joint UN-NATO,No,Withdrawn,Suspended,NATO Secret,Medium,90.5,Published
1179,Operation Steadfast Defender 01179,Cyber Defense,Norway,NOR,Northern Europe,North Atlantic,Atlantic,Low,JFC Brunssum,2012,2024,12,Completed,61432,22,15,764,1.244,5375.5,87503.26,26,Yes,Yes,Inconclusive,Completed,NATO Restricted,Medium,82.1,Published
1180,Operation Arctic Fox 01180,Intelligence Gathering,Norway,NOR,Northern Europe,Baltic Sea,Europe,Low,MARCOM,2007,2013,6,Planning,5963,168,27,59,0.989,11069.47,1856359.22,4,No,No,Transitioned to UN,Planned,NATO Secret,Medium,73.3,N/A
1181,Operation Dawn Patrol 01181,Training Exercise,Türkiye,TUR,Southern Europe,Kosovo,Europe,Medium,AIRCOM,1966,1981,15,Completed,61368,124,46,2281,3.717,10493.45,170992.21,24,No,No,Completed,Active,NATO Confidential,Minimal,21.9,N/A
1182,Operation Cobra Gold 01182,Combat,Belgium,BEL,Western Europe,Syria,Middle East,High,MARCOM,1966,1969,3,Transition,12515,184,49,306,2.445,1641.7,131178.59,2,Joint UN-NATO,Yes,Transitioned to UN,Planned,NATO Restricted,Low,75.5,N/A
1183,Operation Dynamic Front 01183,Combat,France,FRA,Western Europe,Barents Sea,Arctic,Medium,STRIKFORNATO,1984,1996,12,Drawdown,48572,96,29,1329,2.736,10061.13,207138.47,6,Joint UN-NATO,Yes,Withdrawn,Suspended,NATO Restricted,Medium,74.6,Classified
1184,Operation Red Arrow 01184,Maritime Security,Germany,DEU,Western Europe,Horn of Africa,Africa,Medium,SHAPE Belgium,1958,1965,7,Execution,1097,47,8,11,1.003,8071.85,7358113.04,8,No,No,Successful,Planned,Unclassified,High,39.7,Classified
1185,Operation Adriatic Strike 01185,Logistics Support,Slovakia,SVK,Central Europe,Mediterranean Sea,Europe,Low,JFC Brunssum,1972,1978,6,Drawdown,65585,18,31,2475,3.774,10122.43,154340.63,18,Yes,No,Completed,Active,NATO Confidential,Minimal,52.3,Published
1186,Operation Swift Response 01186,Search and Rescue,Lithuania,LTU,Northern Europe,Indian Ocean,Asia,Low,JFC Brunssum,1985,1993,8,Execution,64143,163,35,1570,2.448,10916.84,170195.34,6,Joint UN-NATO,No,Withdrawn,On Hold,NATO Confidential,Medium,73.8,N/A
1187,Operation Steel Horizon 01187,Special Operations,Portugal,PRT,Western Europe,Syria,Middle East,High,SHAPE Belgium,2019,2024,5,Transition,56886,60,1,1025,1.802,11453.24,201336.71,32,Joint UN-NATO,No,Partially Successful,Completed,NATO Secret,Medium,35.8,Published
1188,Operation Vigilant Skies 01188,Maritime Security,Denmark,DNK,Northern Europe,Caucasus Region,Asia,High,STRIKFORNATO,2013,2019,6,Transition,34640,98,43,566,1.634,10029.65,289539.55,30,No,No,Transitioned to UN,Planned,NATO Confidential,Minimal,70.3,Published
1189,Operation Steadfast Jazz 01189,Peacekeeping,Spain,ESP,Western Europe,Aegean Sea,Europe,Low,AIRCOM,1967,1976,9,Planning,41025,186,3,162,0.395,11946.01,291188.54,9,Yes,No,Completed,Suspended,NATO Confidential,Minimal,78.0,Pending
1190,Operation Desert Falcon 01190,Logistics Support,Montenegro,MNE,Southern Europe,Libya,Africa,High,ACO Mons,1987,1993,6,Drawdown,57164,163,20,1312,2.295,8109.85,141869.88,20,Yes,No,Mission Accomplished,On Hold,NATO Confidential,Low,64.5,Published
1191,Operation Thunder Wolf 01191,Ballistic Missile Defense,Netherlands,NLD,Western Europe,Horn of Africa,Africa,Medium,MARCOM,1983,2003,20,Planning,16067,36,10,349,2.172,7993.2,497491.75,7,Joint UN-NATO,No,Inconclusive,Transitioned,NATO Secret,Minimal,57.1,Published
1192,Operation Dawn Patrol 01192,Disaster Relief,Albania,ALB,Southern Europe,Syria,Middle East,High,AIRCOM,2015,2024,9,Transition,14857,134,28,317,2.134,7146.5,481019.05,29,Joint UN-NATO,Yes,Suspended,Concluded,NATO Confidential,High,24.3,N/A
1193,Operation Dynamic Front 01193,Combat,Albania,ALB,Southern Europe,North Sea,Europe,Low,ACO Mons,1968,1981,13,Execution,65302,146,0,2106,3.225,1729.34,26482.19,10,Yes,No,Withdrawn,Transitioned,NATO Secret,Low,52.9,Classified
1194,Operation Cold Response 01194,Ballistic Missile Defense,Croatia,HRV,Southern Europe,Indian Ocean,Asia,Low,ACO Mons,1996,2007,11,Completed,10195,163,19,161,1.579,4873.71,478049.04,28,No,Yes,Suspended,On Hold,NATO Restricted,High,39.6,Published
1195,Operation Arctic Patrol 01195,Special Operations,Montenegro,MNE,Southern Europe,Kosovo,Europe,Medium,LANDCOM,1966,1980,14,Completed,30247,163,48,1012,3.346,4442.71,146881.01,21,Joint UN-NATO,Yes,Inconclusive,Suspended,NATO Secret,Low,56.6,Pending
1196,Operation Arctic Fox 01196,Naval Patrol,Portugal,PRT,Western Europe,Afghanistan,Asia,High,MARCOM,1951,1962,11,Completed,61675,147,30,1489,2.414,7150.55,115939.2,30,Yes,Yes,Partially Successful,Transitioned,Unclassified,Low,22.9,Pending
1197,Operation Pacific Watch 01197,Intelligence Gathering,Poland,POL,Central Europe,Mali,Africa,Medium,SHAPE Belgium,1971,1990,19,Execution,10680,49,23,359,3.361,10040.28,940101.12,20,Joint UN-NATO,Yes,Successful,Concluded,NATO Secret,Medium,68.8,Published
1198,Operation Freedom Sentinel 01198,Intelligence Gathering,Slovakia,SVK,Central Europe,Somalia,Africa,Medium,ACO Mons,1952,1957,5,Transition,36553,23,30,564,1.543,1511.88,41361.31,5,No,No,Ongoing,Planned,NATO Secret,Low,37.9,N/A
1199,Operation Red Arrow 01199,Logistics Support,Portugal,PRT,Western Europe,Eastern Europe,Europe,Medium,JFC Brunssum,1953,1968,15,Deployment,2950,77,8,8,0.271,2875.86,974867.8,24,No,No,Successful,Suspended,NATO Confidential,High,46.7,Published
1200,Operation Southern Watch 01200,Naval Patrol,Bulgaria,BGR,Eastern Europe,Somalia,Africa,Medium,JFC Naples,2014,2016,2,Deployment,20071,13,16,3,0.015,1359.96,67757.46,5,No,No,Successful,Suspended,NATO Secret,High,29.8,Classified
1201,Operation Freedom Sentinel 01201,Combat,Germany,DEU,Western Europe,Adriatic Sea,Europe,Low,LANDCOM,1952,1956,4,Deployment,13826,101,5,514,3.718,3902.38,282249.39,7,Joint UN-NATO,Yes,Mission Accomplished,Completed,NATO Restricted,Minimal,87.9,Classified
1202,Operation Rapid Falcon 01202,Counter-Terrorism,Sweden,SWE,Northern Europe,Caucasus Region,Asia,High,ACO Mons,2023,2024,1,Planning,53237,115,7,18,0.034,3015.84,56649.32,7,Yes,Yes,Successful,Transitioned,NATO Confidential,Low,30.5,Pending
1203,Operation Northern Guard 01203,Peacekeeping,Iceland,ISL,Northern Europe,Sahel Region,Africa,High,STRIKFORNATO,1995,1999,4,Completed,72667,157,13,2087,2.872,7720.06,106238.87,30,No,No,Transitioned to UN,On Hold,NATO Confidential,Low,51.9,N/A
1204,Operation Desert Falcon 01204,Counter-Terrorism,Croatia,HRV,Southern Europe,Ukraine Border,Europe,High,AIRCOM,1959,1972,13,Completed,10457,99,24,210,2.008,8331.07,796697.91,10,Joint UN-NATO,Yes,Ongoing,Concluded,NATO Secret,Medium,68.0,Published
1205,Operation Pacific Watch 01205,Search and Rescue,Sweden,SWE,Northern Europe,Somalia,Africa,Medium,STRIKFORNATO,2013,2024,11,Transition,50138,74,23,1112,2.218,8376.42,167067.29,6,No,Yes,Transitioned to UN,Concluded,NATO Restricted,Minimal,36.1,N/A
1206,Operation Freedom Sentinel 01206,Logistics Support,Montenegro,MNE,Southern Europe,Persian Gulf,Middle East,Medium,ACO Mons,1991,1997,6,Deployment,39309,28,26,62,0.158,9920.06,252361.04,10,Yes,No,Ongoing,Completed,NATO Confidential,Minimal,32.8,Classified
1207,Operation Hammer Force 01207,Combat,Germany,DEU,Western Europe,Baltic Sea,Europe,Low,STRIKFORNATO,2006,2008,2,Planning,42784,43,31,680,1.589,3586.36,83824.79,2,Yes,No,Completed,Active,Unclassified,Low,58.1,Classified
1208,Operation Baltic Fortress 01208,CBRN Response,Albania,ALB,Southern Europe,Adriatic Sea,Europe,Low,ACO Mons,1982,1987,5,Drawdown,50494,111,6,1911,3.785,9866.74,195404.21,23,Joint UN-NATO,No,Transitioned to UN,Active,NATO Confidential,Low,29.5,Pending
1209,Operation Ocean Shield 01209,Counter-Terrorism,North Macedonia,MKD,Southern Europe,Adriatic Sea,Europe,Low,JFC Brunssum,2014,2015,1,Completed,27262,28,14,195,0.715,11156.72,409240.7,2,No,No,Inconclusive,Suspended,NATO Confidential,Minimal,43.2,Classified
1210,Operation Eagle Eye 01210,Training Exercise,United States,USA,North America,Aegean Sea,Europe,Low,ACO Mons,2019,2020,1,Transition,1524,14,20,10,0.656,6006.56,3941312.34,29,Yes,Yes,Successful,Concluded,NATO Confidential,High,47.1,Published
1211,Operation Cold Response 01211,Training Exercise,Greece,GRC,Southern Europe,North Atlantic,Atlantic,Low,LANDCOM,1956,1971,15,Completed,67314,5,29,770,1.144,3310.57,49181.0,5,Yes,No,Successful,Active,Unclassified,High,62.1,Pending
1212,Operation Brilliant Jump 01212,Maritime Security,Spain,ESP,Western Europe,Kosovo,Europe,Medium,ACO Mons,1949,1966,17,Execution,35756,158,5,403,1.127,6094.75,170453.91,6,Yes,No,Partially Successful,Planned,Unclassified,Minimal,30.3,Pending
1213,Operation Steadfast Jazz 01213,Maritime Security,Czech Republic,CZE,Central Europe,Black Sea,Europe,Medium,MARCOM,2008,2020,12,Transition,56724,29,7,287,0.506,2274.18,40092.02,8,No,No,Suspended,Suspended,Unclassified,Minimal,59.6,Pending
1214,Operation Thunder Wolf 01214,CBRN Response,Latvia,LVA,Northern Europe,Ukraine Border,Europe,High,SHAPE Belgium,1982,1986,4,Completed,56811,109,17,753,1.325,4476.89,78803.22,5,Yes,Yes,Mission Accomplished,Active,NATO Restricted,High,71.8,Pending
1215,Operation Active Endeavour 01215,Amphibious Exercise,Denmark,DNK,Northern Europe,Mediterranean Sea,Europe,Low,LANDCOM,1965,1985,20,Drawdown,72885,180,15,1755,2.408,247.83,3400.29,23,Joint UN-NATO,Yes,Suspended,Suspended,NATO Restricted,Low,76.4,Published
1216,Operation Iron Spear 01216,Peacekeeping,United States,USA,North America,Somalia,Africa,Medium,LANDCOM,2008,2024,16,Completed,22684,186,49,100,0.441,11251.28,496000.71,22,Joint UN-NATO,No,Ongoing,Transitioned,NATO Secret,Medium,75.2,Pending
1217,Operation Allied Shield 01217,Combat,Iceland,ISL,Northern Europe,Barents Sea,Arctic,Medium,AIRCOM,1959,1965,6,Drawdown,27426,191,14,764,2.786,10445.65,380866.7,18,Yes,No,Completed,Transitioned,NATO Secret,Minimal,28.1,Classified
1218,Operation Trident Juncture 01218,Maritime Security,Norway,NOR,Northern Europe,Western Balkans,Europe,Low,JFC Brunssum,1974,1975,1,Deployment,19402,89,11,72,0.371,4099.62,211298.84,20,Joint UN-NATO,Yes,Partially Successful,Suspended,Unclassified,High,45.7,Published
1219,Operation Glacier Watch 01219,Disaster Relief,United Kingdom,GBR,Western Europe,Kosovo,Europe,Medium,JFC Naples,2021,2024,3,Transition,16434,12,46,167,1.016,6097.61,371036.27,5,Joint UN-NATO,No,Successful,Transitioned,NATO Confidential,High,23.0,Published
1220,Operation Saber Strike 01220,Ballistic Missile Defense,Denmark,DNK,Northern Europe,Eastern Europe,Europe,Medium,SHAPE Belgium,1961,1969,8,Deployment,16898,144,25,32,0.189,2779.05,164460.29,2,Yes,No,Withdrawn,Transitioned,NATO Secret,High,91.3,N/A
1221,Operation Brilliant Jump 01221,Peacekeeping,Finland,FIN,Northern Europe,Horn of Africa,Africa,Medium,AIRCOM,2013,2015,2,Transition,61683,74,50,1020,1.654,8335.75,135138.53,28,No,Yes,Partially Successful,Completed,NATO Restricted,Medium,25.7,Classified
1222,Operation Silver Lance 01222,Ballistic Missile Defense,Canada,CAN,North America,Lebanon,Middle East,Medium,STRIKFORNATO,1983,1992,9,Transition,52913,20,38,8,0.015,65.66,1240.9,20,Yes,Yes,Suspended,Transitioned,NATO Restricted,High,32.7,Classified
1223,Operation Baltic Eagle 01223,Combat,Netherlands,NLD,Western Europe,Indian Ocean,Asia,Low,SHAPE Belgium,2022,2024,2,Planning,64278,82,49,2169,3.374,10268.26,159747.66,12,No,No,Completed,Completed,Unclassified,High,84.7,N/A
1224,Operation Mountain Shield 01224,Peacekeeping,Poland,POL,Central Europe,Indian Ocean,Asia,Low,MARCOM,1962,1967,5,Completed,9681,82,12,29,0.3,5690.06,587755.4,9,No,Yes,Completed,Concluded,NATO Confidential,Medium,86.8,N/A
1225,Operation Steel Horizon 01225,Reconnaissance,Lithuania,LTU,Northern Europe,Eastern Europe,Europe,Medium,STRIKFORNATO,1961,1966,5,Transition,72101,79,11,734,1.018,4606.97,63896.06,28,Yes,No,Inconclusive,Suspended,NATO Secret,High,56.5,Pending
1226,Operation Vigilant Skies 01226,Disaster Relief,Norway,NOR,Northern Europe,Barents Sea,Arctic,Medium,JFC Naples,1981,1996,15,Drawdown,29273,166,0,1129,3.857,11249.72,384303.62,9,Yes,Yes,Mission Accomplished,Transitioned,NATO Restricted,Low,33.0,Classified
1227,Operation Pacific Watch 01227,Training Exercise,North Macedonia,MKD,Southern Europe,Libya,Africa,High,JFC Brunssum,1951,1966,15,Planning,15819,32,13,430,2.718,6379.07,403253.68,28,No,Yes,Partially Successful,Suspended,NATO Secret,Minimal,90.4,Classified
1228,Operation Northern Guard 01228,Training Exercise,United States,USA,North America,Arctic Region,Arctic,Medium,ACO Mons,1956,1967,11,Completed,46601,26,17,917,1.968,8843.7,189774.9,28,Yes,Yes,Mission Accomplished,On Hold,NATO Secret,Minimal,67.1,Published
1229,Operation Baltic Eagle 01229,Ballistic Missile Defense,Luxembourg,LUX,Western Europe,Somalia,Africa,Medium,JFC Brunssum,1984,1985,1,Planning,36817,32,16,289,0.785,8646.68,234855.64,9,Yes,No,Withdrawn,Completed,Unclassified,Low,29.1,N/A
1230,Operation Polar Bear 01230,Naval Patrol,Slovakia,SVK,Central Europe,Aegean Sea,Europe,Low,ACO Mons,1986,1991,5,Deployment,53909,53,7,1020,1.892,8668.21,160793.37,24,No,No,Ongoing,Completed,NATO Restricted,Minimal,39.8,Pending
1231,Operation Allied Shield 01231,Disaster Relief,Denmark,DNK,Northern Europe,Syria,Middle East,High,AIRCOM,2004,2009,5,Planning,61436,156,4,1913,3.114,10968.02,178527.57,6,Joint UN-NATO,No,Completed,On Hold,NATO Confidential,Minimal,26.3,Pending
1232,Operation Vigilant Skies 01232,Intelligence Gathering,Sweden,SWE,Northern Europe,Eastern Europe,Europe,Medium,JFC Brunssum,2013,2019,6,Planning,7432,84,46,241,3.243,10132.77,1363397.47,20,No,No,Mission Accomplished,Completed,NATO Confidential,Minimal,39.8,Classified
1233,Operation Baltic Eagle 01233,Amphibious Exercise,North Macedonia,MKD,Southern Europe,Libya,Africa,High,STRIKFORNATO,1975,1977,2,Transition,25301,28,31,498,1.968,5013.77,198164.89,23,Yes,No,Mission Accomplished,Suspended,NATO Restricted,High,77.1,Classified
1234,Operation Sea Guardian 01234,Search and Rescue,Türkiye,TUR,Southern Europe,Bosnia,Europe,Low,MARCOM,1968,1980,12,Deployment,74028,170,31,1713,2.314,5455.21,73691.17,11,Joint UN-NATO,Yes,Mission Accomplished,On Hold,NATO Confidential,High,90.1,N/A
1235,Operation Ramstein Guard 01235,Intelligence Gathering,Norway,NOR,Northern Europe,Horn of Africa,Africa,Medium,JFC Naples,1997,1998,1,Execution,14233,94,17,338,2.375,5619.43,394816.97,24,No,No,Partially Successful,Planned,NATO Confidential,Medium,60.3,Classified
1236,Operation Saber Strike 01236,Intelligence Gathering,Germany,DEU,Western Europe,Somalia,Africa,Medium,MARCOM,1956,1976,20,Deployment,57422,39,15,2157,3.756,6033.41,105071.4,6,No,Yes,Ongoing,Completed,NATO Restricted,Medium,71.2,N/A
1237,Operation Glacier Watch 01237,CBRN Response,United States,USA,North America,Persian Gulf,Middle East,Medium,SHAPE Belgium,1976,1982,6,Transition,43018,150,24,1163,2.704,11037.25,256572.83,22,Joint UN-NATO,Yes,Withdrawn,Concluded,NATO Confidential,Low,64.6,Classified
1238,Operation Adriatic Strike 01238,Intelligence Gathering,France,FRA,Western Europe,Black Sea,Europe,Medium,JFC Naples,2014,2016,2,Drawdown,13101,72,23,262,2.0,8091.48,617623.08,21,No,Yes,Partially Successful,Concluded,Unclassified,Low,74.7,Pending
1239,Operation Loyal Leda 01239,Disaster Relief,Portugal,PRT,Western Europe,Kosovo,Europe,Medium,JFC Brunssum,1980,1993,13,Drawdown,16597,113,26,244,1.47,5174.51,311773.81,2,Yes,No,Withdrawn,Planned,Unclassified,Minimal,56.2,Pending
1240,Operation Loyal Leda 01240,Naval Patrol,Slovenia,SVN,Southern Europe,Mediterranean Sea,Europe,Low,MARCOM,1995,2000,5,Drawdown,8818,37,18,168,1.905,10393.4,1178657.29,30,Joint UN-NATO,No,Suspended,Suspended,NATO Secret,Low,35.5,N/A
1241,Operation Ocean Shield 01241,Maritime Security,Sweden,SWE,Northern Europe,Afghanistan,Asia,High,MARCOM,1949,1950,1,Completed,36907,184,49,813,2.203,4914.28,133153.06,3,Yes,Yes,Transitioned to UN,Planned,Unclassified,Medium,78.2,N/A
1242,Operation Sea Guardian 01242,Maritime Security,Norway,NOR,Northern Europe,Afghanistan,Asia,High,JFC Naples,1969,1970,1,Transition,51809,184,36,1096,2.115,8517.31,164398.27,32,Joint UN-NATO,Yes,Mission Accomplished,Planned,Unclassified,Minimal,51.1,Classified
1243,Operation Freedom Sentinel 01243,Logistics Support,Denmark,DNK,Northern Europe,North Sea,Europe,Low,JFC Naples,1951,1957,6,Execution,11491,7,37,434,3.777,1468.43,127789.57,25,No,Yes,Transitioned to UN,Concluded,NATO Restricted,Medium,36.7,N/A
1244,Operation Allied Shield 01244,Logistics Support,Hungary,HUN,Central Europe,Adriatic Sea,Europe,Low,JFC Naples,1989,2003,14,Transition,31139,54,25,377,1.211,5703.34,183157.46,3,Yes,Yes,Inconclusive,Transitioned,NATO Secret,Low,83.5,Pending
1245,Operation Arctic Fox 01245,Naval Patrol,United Kingdom,GBR,Western Europe,Indian Ocean,Asia,Low,LANDCOM,1993,1999,6,Completed,53237,152,43,1089,2.046,2997.57,56306.14,31,Joint UN-NATO,No,Suspended,Active,NATO Confidential,Low,29.4,N/A
1246,Operation Iron Resolve 01246,Humanitarian Aid,Luxembourg,LUX,Western Europe,Mali,Africa,Medium,STRIKFORNATO,1991,2010,19,Completed,73027,55,49,700,0.959,10254.63,140422.45,14,Joint UN-NATO,No,Suspended,On Hold,Unclassified,Low,70.2,N/A
1247,Operation Rapid Falcon 01247,Intelligence Gathering,Canada,CAN,North America,Western Balkans,Europe,Low,JFC Naples,1984,2004,20,Planning,44143,181,16,1442,3.267,1431.69,32433.0,4,Yes,Yes,Inconclusive,Transitioned,NATO Secret,Medium,47.1,Published
1248,Operation Steel Horizon 01248,Logistics Support,Denmark,DNK,Northern Europe,Horn of Africa,Africa,Medium,AIRCOM,1974,1990,16,Transition,25273,177,24,606,2.398,1521.26,60193.09,14,No,Yes,Inconclusive,Active,NATO Secret,High,33.7,Pending
1249,Operation Mountain Shield 01249,Air Policing,Denmark,DNK,Northern Europe,Persian Gulf,Middle East,Medium,JFC Naples,1972,1983,11,Execution,36718,126,22,1274,3.47,11827.5,322117.22,3,Joint UN-NATO,No,Transitioned to UN,Concluded,NATO Confidential,High,24.1,Classified
1250,Operation Glacier Watch 01250,Special Operations,Lithuania,LTU,Northern Europe,Aegean Sea,Europe,Low,MARCOM,1961,1975,14,Planning,3960,149,33,116,2.929,2870.25,724810.61,4,No,No,Inconclusive,Transitioned,NATO Restricted,Low,46.1,N/A
1251,Operation Arctic Patrol 01251,Cyber Defense,Germany,DEU,Western Europe,Eastern Europe,Europe,Medium,JFC Brunssum,1987,1989,2,Drawdown,68260,115,46,609,0.892,6658.12,97540.58,23,Joint UN-NATO,No,Successful,Concluded,NATO Confidential,Minimal,78.3,Published
1252,Operation Glacier Watch 01252,Ballistic Missile Defense,Bulgaria,BGR,Eastern Europe,Horn of Africa,Africa,Medium,ACO Mons,1981,1991,10,Planning,10753,123,44,330,3.069,4885.2,454310.42,2,Yes,No,Suspended,Planned,NATO Secret,Low,84.0,Classified
1253,Operation Viking 01253,Peacekeeping,Bulgaria,BGR,Eastern Europe,Syria,Middle East,High,SHAPE Belgium,1952,1954,2,Drawdown,35020,152,27,1372,3.918,2613.14,74618.5,12,No,No,Suspended,Suspended,NATO Restricted,Medium,35.2,N/A
1254,Operation Allied Shield 01254,Naval Patrol,Lithuania,LTU,Northern Europe,Caucasus Region,Asia,High,ACO Mons,1973,1983,10,Deployment,58169,148,44,548,0.942,7018.39,120655.16,15,Yes,No,Ongoing,Transitioned,NATO Confidential,Minimal,25.7,N/A
1255,Operation Blue Flag 01255,Combat,Poland,POL,Central Europe,North Sea,Europe,Low,SHAPE Belgium,1983,2001,18,Completed,14828,68,38,573,3.864,6130.92,413469.11,15,Joint UN-NATO,No,Partially Successful,Planned,NATO Restricted,Low,84.0,N/A
1256,Operation Unified Protector 01256,Logistics Support,Iceland,ISL,Northern Europe,Mali,Africa,Medium,SHAPE Belgium,1976,1978,2,Transition,25891,186,18,619,2.391,4074.12,157356.61,24,Joint UN-NATO,No,Completed,Completed,NATO Confidential,Medium,66.1,N/A
1257,Operation Neptune Strike 01257,Naval Patrol,Montenegro,MNE,Southern Europe,Persian Gulf,Middle East,Medium,AIRCOM,2012,2014,2,Planning,43662,148,36,634,1.452,8230.79,188511.52,5,Yes,Yes,Transitioned to UN,Transitioned,NATO Confidential,Minimal,69.9,N/A
1258,Operation Sea Guardian 01258,Air Policing,Belgium,BEL,Western Europe,Afghanistan,Asia,High,STRIKFORNATO,1968,1985,17,Execution,62791,177,8,2175,3.464,3841.87,61185.04,17,Yes,No,Suspended,Active,NATO Confidential,High,55.9,N/A
1259,Operation Sea Guardian 01259,Humanitarian Aid,Finland,FIN,Northern Europe,Eastern Europe,Europe,Medium,JFC Naples,1967,1970,3,Deployment,32536,96,46,245,0.753,5325.69,163686.07,9,Yes,Yes,Successful,Completed,Unclassified,Low,63.8,Pending
1260,Operation Allied Shield 01260,Ballistic Missile Defense,United Kingdom,GBR,Western Europe,Barents Sea,Arctic,Medium,SHAPE Belgium,1981,2001,20,Execution,46532,105,28,62,0.133,2614.86,56194.88,10,No,No,Completed,Concluded,NATO Confidential,High,89.5,Published
1261,Operation Steadfast Jazz 01261,Cyber Defense,Poland,POL,Central Europe,Ukraine Border,Europe,High,AIRCOM,2003,2009,6,Planning,678,72,45,19,2.802,3260.15,4808480.83,18,Joint UN-NATO,Yes,Ongoing,Transitioned,NATO Restricted,Medium,60.5,Pending
1262,Operation Noble Jump 01262,CBRN Response,Finland,FIN,Northern Europe,Aegean Sea,Europe,Low,MARCOM,1962,1965,3,Planning,67079,17,35,837,1.248,7583.99,113060.57,22,Joint UN-NATO,No,Suspended,Planned,NATO Restricted,High,89.9,N/A
