Record_ID,Country,ISO_Code,Join_Year,Founding_Member,Nuclear_Sharing,Region,Capital,Equipment_Type,Equipment_Category,Domain,Notable_Models,Units_Count,Operational_Status,Condition,Year_Acquired,Equipment_Age_Years,Unit_Cost_M_USD,Total_Value_M_USD,Country_of_Origin,NATO_Standardized,Interoperable,Last_Maintenance_Year,Next_Upgrade_Due,Combat_Ready_Pct
1171,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Sniper Rifle System,Small Arms,Land,Barrett M82 / Accuracy Int.,1823,Upgrading,End-of-Life,2023,1,375.62,684755.26,UK,Partial,Yes,2023,2030,76.7
1172,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,269,Decommissioning,Needs Repair,2023,1,153.79,41369.51,Italy,Yes,No,2023,2026,70.3
1173,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,498,Operational,Excellent,2024,0,322.07,160390.86,Israel,No,No,2024,2028,71.8
1174,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,1599,Operational,End-of-Life,2024,0,110.81,177185.19,Multi-National,Yes,No,2024,2029,61.0
1175,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,638,Operational,Fair,2023,1,238.47,152143.86,France,No,No,2024,2026,61.9
1176,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Patrol Aircraft,Air Force,Air,P-8 Poseidon / Atlantic,984,On Order,Needs Repair,2024,0,248.02,244051.68,Multi-National,No,Yes,2024,2024,53.7
1177,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Patrol Aircraft,Air Force,Air,P-8 Poseidon / Atlantic,1210,In Maintenance,Excellent,2023,1,76.37,92407.7,Turkey,Yes,Yes,2024,2032,64.0
1178,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,1891,Decommissioning,Good,2023,1,428.16,809650.56,Multi-National,No,No,2023,2032,69.8
1179,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,1694,In Maintenance,Fair,2023,1,113.59,192421.46,Italy,No,Yes,2023,2031,94.9
1180,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,1184,Operational,Needs Repair,2024,0,139.71,165416.64,Domestic,Yes,Yes,2024,2032,73.3
1181,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,966,Operational,Excellent,2023,1,9.21,8896.86,Germany,Partial,No,2024,2029,81.0
1182,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,309,In Maintenance,Excellent,2023,1,66.64,20591.76,USA,Partial,No,2024,2028,62.0
1183,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,138,Upgrading,End-of-Life,2024,0,124.3,17153.4,Germany,Partial,Yes,2024,2028,64.3
1184,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,271,On Order,Excellent,2024,0,144.13,39059.23,USA,No,Yes,2024,2034,80.8
1185,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,918,Operational,Good,2024,0,124.46,114254.28,Israel,Yes,No,2024,2028,84.0
1186,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,415,Reserve,End-of-Life,2023,1,258.0,107070.0,Turkey,Yes,Yes,2023,2030,72.0
1187,Finland,FIN,2023,No,No,Northern Europe,Helsinki,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,1321,Operational,Fair,2023,1,192.1,253764.1,Italy,No,Yes,2023,2026,64.0
1188,France,FRA,1949,Yes,Yes,Western Europe,Paris,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,923,Decommissioning,Good,1950,74,374.19,345377.37,Turkey,Partial,No,2014,2026,75.5
1189,France,FRA,1949,Yes,Yes,Western Europe,Paris,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,213,On Order,Fair,1993,31,241.22,51379.86,Italy,Yes,Yes,2020,2027,88.0
1190,France,FRA,1949,Yes,Yes,Western Europe,Paris,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,1324,Decommissioning,Good,2006,18,37.94,50232.56,Domestic,No,No,2020,2028,81.7
1191,France,FRA,1949,Yes,Yes,Western Europe,Paris,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,228,Reserve,End-of-Life,1989,35,411.68,93863.04,Turkey,Yes,No,1999,2030,47.8
1192,France,FRA,1949,Yes,Yes,Western Europe,Paris,Sniper Rifle System,Small Arms,Land,Barrett M82 / Accuracy Int.,165,In Maintenance,Excellent,2016,8,416.59,68737.35,Germany,No,No,2023,2027,85.5
1193,France,FRA,1949,Yes,Yes,Western Europe,Paris,Sniper Rifle System,Small Arms,Land,Barrett M82 / Accuracy Int.,1324,Upgrading,Needs Repair,2005,19,318.87,422183.88,Germany,No,No,2011,2034,58.3
1194,France,FRA,1949,Yes,Yes,Western Europe,Paris,Sniper Rifle System,Small Arms,Land,Barrett M82 / Accuracy Int.,1291,Decommissioning,Needs Repair,1993,31,387.04,499668.64,Multi-National,No,Yes,2017,2029,68.5
1195,France,FRA,1949,Yes,Yes,Western Europe,Paris,Sniper Rifle System,Small Arms,Land,Barrett M82 / Accuracy Int.,693,Reserve,Good,2001,23,338.83,234809.19,Multi-National,Partial,Yes,2006,2033,94.9
1196,France,FRA,1949,Yes,Yes,Western Europe,Paris,Combat Engineer Vehicle,Engineering,Land,M9 ACE / Leopard 2 AEV,1564,Decommissioning,Excellent,1978,46,121.96,190745.44,UK,Yes,No,2008,2033,91.8
1197,France,FRA,1949,Yes,Yes,Western Europe,Paris,Combat Engineer Vehicle,Engineering,Land,M9 ACE / Leopard 2 AEV,1970,On Order,Excellent,1956,68,282.1,555737.0,UK,Yes,Yes,2009,2035,61.2
1198,France,FRA,1949,Yes,Yes,Western Europe,Paris,Mine Countermeasure Vessel,Naval,Sea,Hunt-class / Alkmaar,980,In Maintenance,Needs Repair,2003,21,57.79,56634.2,Israel,Partial,Yes,2007,2029,55.7
1199,France,FRA,1949,Yes,Yes,Western Europe,Paris,Mine Countermeasure Vessel,Naval,Sea,Hunt-class / Alkmaar,316,Decommissioning,Good,1954,70,99.76,31524.16,Domestic,Partial,Yes,1988,2034,98.4
1200,France,FRA,1949,Yes,Yes,Western Europe,Paris,Maritime Helicopter,Aviation,Air,AW159 / MH-60R,1392,In Maintenance,Excellent,1992,32,67.16,93486.72,USA,No,Yes,2003,2030,58.6
1201,France,FRA,1949,Yes,Yes,Western Europe,Paris,Maritime Helicopter,Aviation,Air,AW159 / MH-60R,136,Reserve,Needs Repair,1983,41,221.36,30104.96,Domestic,Yes,Yes,2016,2028,47.5
1202,France,FRA,1949,Yes,Yes,Western Europe,Paris,Corvette,Naval,Sea,Skjold / Visby / Burak,1634,Reserve,End-of-Life,1978,46,98.23,160507.82,Multi-National,Partial,No,2006,2028,49.8
1203,France,FRA,1949,Yes,Yes,Western Europe,Paris,Corvette,Naval,Sea,Skjold / Visby / Burak,1180,On Order,Fair,2018,6,287.0,338660.0,Israel,Partial,No,2023,2031,87.2
1204,France,FRA,1949,Yes,Yes,Western Europe,Paris,Corvette,Naval,Sea,Skjold / Visby / Burak,1634,In Maintenance,End-of-Life,1960,64,442.33,722767.22,Domestic,Yes,Yes,2015,2026,84.4
1205,France,FRA,1949,Yes,Yes,Western Europe,Paris,Corvette,Naval,Sea,Skjold / Visby / Burak,954,Operational,Excellent,1980,44,181.51,173160.54,France,Yes,Yes,2016,2024,82.1
1206,France,FRA,1949,Yes,Yes,Western Europe,Paris,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,115,Upgrading,Needs Repair,2005,19,135.63,15597.45,USA,Partial,No,2014,2026,67.1
1207,France,FRA,1949,Yes,Yes,Western Europe,Paris,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,1003,On Order,Fair,1981,43,378.99,380126.97,Italy,No,Yes,1999,2026,78.4
1208,France,FRA,1949,Yes,Yes,Western Europe,Paris,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,257,Decommissioning,Good,2001,23,278.85,71664.45,Domestic,Partial,No,2015,2029,88.6
1209,France,FRA,1949,Yes,Yes,Western Europe,Paris,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,550,In Maintenance,Fair,2023,1,101.47,55808.5,France,Partial,No,2023,2028,59.1
1210,France,FRA,1949,Yes,Yes,Western Europe,Paris,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,1516,On Order,Fair,1973,51,356.14,539908.24,Germany,Partial,No,2008,2035,53.3
1211,France,FRA,1949,Yes,Yes,Western Europe,Paris,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,937,Decommissioning,Excellent,1975,49,112.03,104972.11,France,Yes,Yes,2005,2027,56.6
1212,France,FRA,1949,Yes,Yes,Western Europe,Paris,Satellite Terminal,Communications,Digital,SATCOM / JTRS,1290,In Maintenance,Needs Repair,1976,48,23.19,29915.1,UK,Yes,Yes,1985,2028,85.4
1213,France,FRA,1949,Yes,Yes,Western Europe,Paris,Satellite Terminal,Communications,Digital,SATCOM / JTRS,1913,Decommissioning,End-of-Life,1982,42,10.23,19569.99,Italy,Yes,No,1992,2024,54.5
1214,France,FRA,1949,Yes,Yes,Western Europe,Paris,Frigate,Naval,Sea,FREMM / Type 23 / FREMM,93,Upgrading,Excellent,1991,33,412.18,38332.74,Germany,Yes,Yes,2011,2025,89.0
1215,France,FRA,1949,Yes,Yes,Western Europe,Paris,Frigate,Naval,Sea,FREMM / Type 23 / FREMM,1000,Reserve,Fair,1961,63,164.85,164850.0,Multi-National,No,Yes,1995,2034,99.8
1216,France,FRA,1949,Yes,Yes,Western Europe,Paris,Frigate,Naval,Sea,FREMM / Type 23 / FREMM,109,On Order,Fair,1984,40,68.77,7495.93,Italy,No,No,1988,2025,75.6
1217,France,FRA,1949,Yes,Yes,Western Europe,Paris,Main Battle Tank,Armored,Land,M1 Abrams / Leopard 2 / Challenger 3,762,In Maintenance,Fair,1997,27,385.2,293522.4,France,Partial,Yes,2012,2032,44.5
1218,France,FRA,1949,Yes,Yes,Western Europe,Paris,Main Battle Tank,Armored,Land,M1 Abrams / Leopard 2 / Challenger 3,188,On Order,Fair,1981,43,370.12,69582.56,Domestic,No,Yes,2000,2033,97.6
1219,France,FRA,1949,Yes,Yes,Western Europe,Paris,Bridge Layer,Engineering,Land,AVLB / Biber,1264,On Order,Needs Repair,2010,14,49.98,63174.72,Italy,No,No,2011,2030,65.9
1220,France,FRA,1949,Yes,Yes,Western Europe,Paris,Bridge Layer,Engineering,Land,AVLB / Biber,474,On Order,Good,1972,52,431.48,204521.52,UK,No,Yes,1973,2030,47.2
1221,France,FRA,1949,Yes,Yes,Western Europe,Paris,Tanker Aircraft,Air Force,Air,KC-135 / A330 MRTT,276,Decommissioning,Fair,1959,65,302.27,83426.52,Israel,Yes,No,1975,2024,92.4
1222,France,FRA,1949,Yes,Yes,Western Europe,Paris,Tanker Aircraft,Air Force,Air,KC-135 / A330 MRTT,3,Operational,Fair,2008,16,196.4,589.2,Domestic,No,Yes,2009,2029,76.4
1223,France,FRA,1949,Yes,Yes,Western Europe,Paris,Tanker Aircraft,Air Force,Air,KC-135 / A330 MRTT,1352,Reserve,Needs Repair,1999,25,225.69,305132.88,Turkey,No,Yes,2008,2027,81.1
1224,France,FRA,1949,Yes,Yes,Western Europe,Paris,Infantry Fighting Vehicle,Armored,Land,Bradley / Puma / AS-21,1976,Decommissioning,Excellent,2004,20,11.28,22289.28,Domestic,Yes,Yes,2006,2028,85.8
1225,France,FRA,1949,Yes,Yes,Western Europe,Paris,Infantry Fighting Vehicle,Armored,Land,Bradley / Puma / AS-21,857,On Order,Good,1962,62,382.39,327708.23,Germany,No,Yes,1996,2033,52.4
1226,France,FRA,1949,Yes,Yes,Western Europe,Paris,Infantry Fighting Vehicle,Armored,Land,Bradley / Puma / AS-21,577,Upgrading,Good,2000,24,295.57,170543.89,Multi-National,Partial,Yes,2013,2032,68.3
1227,France,FRA,1949,Yes,Yes,Western Europe,Paris,Infantry Fighting Vehicle,Armored,Land,Bradley / Puma / AS-21,1099,On Order,Fair,1995,29,40.32,44311.68,Israel,Partial,Yes,2006,2034,42.1
1228,France,FRA,1949,Yes,Yes,Western Europe,Paris,Electronic Warfare System,Electronics,Land,JAMMER / Krasukha,783,Decommissioning,End-of-Life,1992,32,446.97,349977.51,Germany,No,No,2003,2032,42.1
1229,France,FRA,1949,Yes,Yes,Western Europe,Paris,Electronic Warfare System,Electronics,Land,JAMMER / Krasukha,983,In Maintenance,Excellent,1969,55,321.68,316211.44,Multi-National,Yes,No,1997,2026,77.9
1230,France,FRA,1949,Yes,Yes,Western Europe,Paris,Electronic Warfare System,Electronics,Land,JAMMER / Krasukha,940,Reserve,Excellent,1976,48,158.59,149074.6,Turkey,Partial,Yes,2022,2035,82.6
1231,France,FRA,1949,Yes,Yes,Western Europe,Paris,Electronic Warfare System,Electronics,Land,JAMMER / Krasukha,60,Upgrading,End-of-Life,2018,6,100.26,6015.6,Turkey,Partial,No,2018,2034,55.3
1232,France,FRA,1949,Yes,Yes,Western Europe,Paris,Aircraft Carrier,Naval,Sea,Gerald R. Ford / Queen Elizabeth,1246,Upgrading,Excellent,2020,4,92.39,115117.94,UK,No,No,2022,2033,42.1
1233,France,FRA,1949,Yes,Yes,Western Europe,Paris,Aircraft Carrier,Naval,Sea,Gerald R. Ford / Queen Elizabeth,892,On Order,Needs Repair,1998,26,237.32,211689.44,Turkey,No,Yes,2015,2029,85.7
1234,France,FRA,1949,Yes,Yes,Western Europe,Paris,Aircraft Carrier,Naval,Sea,Gerald R. Ford / Queen Elizabeth,1831,Reserve,Fair,1962,62,38.26,70054.06,Israel,Yes,No,2004,2033,87.7
1235,France,FRA,1949,Yes,Yes,Western Europe,Paris,Submarine (SSK),Naval,Sea,Type 212 / Gotland,426,Operational,End-of-Life,1988,36,112.4,47882.4,Domestic,Partial,No,2001,2033,95.8
1236,France,FRA,1949,Yes,Yes,Western Europe,Paris,Submarine (SSK),Naval,Sea,Type 212 / Gotland,35,Decommissioning,Fair,1954,70,61.05,2136.75,Israel,No,Yes,1984,2031,82.1
1237,France,FRA,1949,Yes,Yes,Western Europe,Paris,Submarine (SSK),Naval,Sea,Type 212 / Gotland,989,In Maintenance,Excellent,1980,44,8.78,8683.42,Israel,No,No,1986,2033,86.9
1238,France,FRA,1949,Yes,Yes,Western Europe,Paris,Submarine (SSN),Naval,Sea,Virginia-class / Astute-class,222,Upgrading,Good,1997,27,127.79,28369.38,Domestic,Yes,Yes,2005,2034,43.4
1239,France,FRA,1949,Yes,Yes,Western Europe,Paris,Submarine (SSN),Naval,Sea,Virginia-class / Astute-class,1955,Reserve,Fair,1997,27,429.91,840474.05,Italy,Yes,Yes,2007,2028,75.3
1240,France,FRA,1949,Yes,Yes,Western Europe,Paris,Submarine (SSN),Naval,Sea,Virginia-class / Astute-class,66,On Order,Excellent,2014,10,447.09,29507.94,Multi-National,Yes,No,2020,2034,67.4
1241,France,FRA,1949,Yes,Yes,Western Europe,Paris,Mortar System,Artillery,Land,M120 / AMOS,1046,Upgrading,Excellent,2011,13,61.23,64046.58,Israel,Yes,Yes,2014,2028,54.9
1242,France,FRA,1949,Yes,Yes,Western Europe,Paris,Mortar System,Artillery,Land,M120 / AMOS,452,Decommissioning,Excellent,1957,67,12.86,5812.72,UK,Yes,No,1977,2033,58.4
1243,France,FRA,1949,Yes,Yes,Western Europe,Paris,Mortar System,Artillery,Land,M120 / AMOS,1920,Upgrading,Fair,1978,46,443.67,851846.4,USA,No,No,1998,2028,64.8
1244,France,FRA,1949,Yes,Yes,Western Europe,Paris,Mortar System,Artillery,Land,M120 / AMOS,795,Upgrading,Good,1969,55,230.64,183358.8,Italy,Yes,No,1979,2026,60.2
1245,France,FRA,1949,Yes,Yes,Western Europe,Paris,Anti-Drone System,Air Defense,Land,DroneShield / AUDS / Skyfend,1595,Operational,Excellent,1991,33,284.51,453793.45,Germany,Yes,Yes,1993,2026,53.4
1246,France,FRA,1949,Yes,Yes,Western Europe,Paris,Anti-Drone System,Air Defense,Land,DroneShield / AUDS / Skyfend,1955,Upgrading,Needs Repair,1986,38,18.01,35209.55,Turkey,Yes,Yes,2009,2025,79.5
1247,France,FRA,1949,Yes,Yes,Western Europe,Paris,Anti-Drone System,Air Defense,Land,DroneShield / AUDS / Skyfend,1064,Reserve,Excellent,2022,2,331.59,352811.76,Multi-National,Partial,Yes,2024,2024,60.2
1248,France,FRA,1949,Yes,Yes,Western Europe,Paris,Attack Helicopter,Aviation,Air,AH-64 Apache / Tiger / NH90,826,Decommissioning,Excellent,2005,19,20.03,16544.78,Germany,Yes,Yes,2020,2032,73.1
1249,France,FRA,1949,Yes,Yes,Western Europe,Paris,Attack Helicopter,Aviation,Air,AH-64 Apache / Tiger / NH90,1581,Decommissioning,Excellent,1985,39,218.92,346112.52,Multi-National,No,Yes,2011,2025,59.6
1250,France,FRA,1949,Yes,Yes,Western Europe,Paris,Attack Helicopter,Aviation,Air,AH-64 Apache / Tiger / NH90,972,Decommissioning,Fair,2000,24,275.37,267659.64,UK,No,Yes,2000,2026,49.6
1251,France,FRA,1949,Yes,Yes,Western Europe,Paris,Armored Reconnaissance Vehicle,Armored,Land,Fennek / Fuchs,1423,Decommissioning,End-of-Life,2021,3,67.55,96123.65,Israel,Yes,Yes,2022,2031,54.1
1252,France,FRA,1949,Yes,Yes,Western Europe,Paris,Armored Reconnaissance Vehicle,Armored,Land,Fennek / Fuchs,159,In Maintenance,Excellent,1988,36,165.46,26308.14,USA,Partial,Yes,1997,2030,80.7
1253,France,FRA,1949,Yes,Yes,Western Europe,Paris,Armored Reconnaissance Vehicle,Armored,Land,Fennek / Fuchs,1294,Operational,End-of-Life,1965,59,414.08,535819.52,France,Partial,No,1965,2030,45.1
1254,France,FRA,1949,Yes,Yes,Western Europe,Paris,Medium-Range SAM,Air Defense,Land,Patriot / NASAMS / SAMP/T,932,Decommissioning,Excellent,1961,63,393.07,366341.24,USA,Partial,Yes,2001,2030,97.3
1255,France,FRA,1949,Yes,Yes,Western Europe,Paris,Medium-Range SAM,Air Defense,Land,Patriot / NASAMS / SAMP/T,1387,On Order,Needs Repair,1968,56,399.83,554564.21,Israel,Partial,Yes,1986,2025,98.0
1256,France,FRA,1949,Yes,Yes,Western Europe,Paris,Medium-Range SAM,Air Defense,Land,Patriot / NASAMS / SAMP/T,453,Operational,Good,1983,41,35.78,16208.34,USA,Partial,Yes,1990,2032,77.9
1257,France,FRA,1949,Yes,Yes,Western Europe,Paris,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,21,On Order,Good,1993,31,414.77,8710.17,Germany,No,Yes,2021,2033,80.0
1258,France,FRA,1949,Yes,Yes,Western Europe,Paris,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,636,Decommissioning,Fair,1989,35,202.97,129088.92,Israel,Yes,No,1992,2030,67.1
1259,France,FRA,1949,Yes,Yes,Western Europe,Paris,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,608,In Maintenance,Excellent,2014,10,206.72,125685.76,Domestic,Yes,Yes,2018,2029,85.7
1260,France,FRA,1949,Yes,Yes,Western Europe,Paris,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,558,In Maintenance,Needs Repair,1990,34,213.47,119116.26,Italy,Partial,No,2007,2024,67.3
1261,France,FRA,1949,Yes,Yes,Western Europe,Paris,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,550,Upgrading,Fair,1953,71,100.51,55280.5,UK,Partial,No,1953,2033,96.5
1262,France,FRA,1949,Yes,Yes,Western Europe,Paris,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,507,Upgrading,End-of-Life,1963,61,318.75,161606.25,UK,Yes,Yes,2015,2034,64.2
1263,France,FRA,1949,Yes,Yes,Western Europe,Paris,Destroyer,Naval,Sea,Arleigh Burke / Type 45,147,Operational,Good,1950,74,375.14,55145.58,Germany,No,No,1994,2027,96.3
1264,France,FRA,1949,Yes,Yes,Western Europe,Paris,Destroyer,Naval,Sea,Arleigh Burke / Type 45,1441,Upgrading,Needs Repair,2021,3,20.94,30174.54,France,Yes,Yes,2021,2024,99.7
1265,France,FRA,1949,Yes,Yes,Western Europe,Paris,Destroyer,Naval,Sea,Arleigh Burke / Type 45,1236,Reserve,Needs Repair,2001,23,289.98,358415.28,USA,Yes,No,2008,2030,42.2
1266,France,FRA,1949,Yes,Yes,Western Europe,Paris,Light Tank,Armored,Land,CV90105 / AMX-10RC,45,Reserve,End-of-Life,1957,67,126.76,5704.2,Israel,No,No,2005,2034,78.1
1267,France,FRA,1949,Yes,Yes,Western Europe,Paris,Light Tank,Armored,Land,CV90105 / AMX-10RC,1673,Decommissioning,Fair,2016,8,266.13,445235.49,Multi-National,Yes,No,2016,2034,54.8
1268,France,FRA,1949,Yes,Yes,Western Europe,Paris,Light Tank,Armored,Land,CV90105 / AMX-10RC,1657,Operational,Needs Repair,1963,61,11.9,19718.3,Turkey,Yes,Yes,1991,2031,96.9
1269,France,FRA,1949,Yes,Yes,Western Europe,Paris,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,1341,Reserve,End-of-Life,2011,13,141.28,189456.48,France,Yes,Yes,2018,2032,46.2
1270,France,FRA,1949,Yes,Yes,Western Europe,Paris,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,1909,Decommissioning,Needs Repair,1959,65,199.34,380540.06,Domestic,Yes,No,1962,2026,95.2
1271,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ballistic Missile Defense,Strategic,Land,THAAD / Aegis Ashore,588,Reserve,Fair,1987,37,39.22,23061.36,Israel,No,No,2001,2027,54.0
1272,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ballistic Missile Defense,Strategic,Land,THAAD / Aegis Ashore,1357,Decommissioning,Needs Repair,2016,8,136.72,185529.04,Italy,No,Yes,2019,2033,99.0
1273,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ballistic Missile Defense,Strategic,Land,THAAD / Aegis Ashore,985,On Order,Good,1953,71,368.44,362913.4,Italy,Yes,Yes,1960,2028,77.0
1274,France,FRA,1949,Yes,Yes,Western Europe,Paris,AWACS Aircraft,Air Force,Air,E-3 Sentry / E-7A,1197,Upgrading,Fair,1973,51,173.43,207595.71,France,Partial,No,2018,2025,97.3
1275,France,FRA,1949,Yes,Yes,Western Europe,Paris,AWACS Aircraft,Air Force,Air,E-3 Sentry / E-7A,1258,Upgrading,Good,2011,13,291.59,366820.22,USA,No,Yes,2020,2028,85.7
1276,France,FRA,1949,Yes,Yes,Western Europe,Paris,AWACS Aircraft,Air Force,Air,E-3 Sentry / E-7A,1424,Upgrading,Good,1969,55,123.23,175479.52,France,Partial,No,2023,2032,62.5
1277,France,FRA,1949,Yes,Yes,Western Europe,Paris,AWACS Aircraft,Air Force,Air,E-3 Sentry / E-7A,676,In Maintenance,Needs Repair,1981,43,376.1,254243.6,Israel,Partial,No,2023,2025,55.6
1278,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ammunition Supply Vehicle,Logistics,Support,PLS / DROPS,1897,In Maintenance,Excellent,1980,44,123.43,234146.71,Turkey,Partial,No,2008,2024,65.8
1279,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ammunition Supply Vehicle,Logistics,Support,PLS / DROPS,750,Operational,Needs Repair,1996,28,251.87,188902.5,France,No,No,2015,2026,47.1
1280,France,FRA,1949,Yes,Yes,Western Europe,Paris,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,250,Operational,Needs Repair,1999,25,61.74,15435.0,Multi-National,Partial,Yes,2010,2028,63.5
1281,France,FRA,1949,Yes,Yes,Western Europe,Paris,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,822,Decommissioning,End-of-Life,1976,48,368.91,303244.02,Turkey,Yes,Yes,1994,2034,98.5
1282,France,FRA,1949,Yes,Yes,Western Europe,Paris,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,1324,Operational,Good,1991,33,162.6,215282.4,France,No,Yes,2021,2035,90.3
1283,France,FRA,1949,Yes,Yes,Western Europe,Paris,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,204,Upgrading,End-of-Life,2019,5,443.51,90476.04,Germany,No,No,2020,2033,89.9
1284,France,FRA,1949,Yes,Yes,Western Europe,Paris,Transport Helicopter,Aviation,Air,CH-47 Chinook / NH90,114,In Maintenance,Needs Repair,1992,32,11.22,1279.08,Domestic,Yes,Yes,1997,2025,80.0
1285,France,FRA,1949,Yes,Yes,Western Europe,Paris,Transport Helicopter,Aviation,Air,CH-47 Chinook / NH90,1537,Reserve,Needs Repair,1957,67,37.88,58221.56,USA,No,Yes,2015,2027,73.7
1286,France,FRA,1949,Yes,Yes,Western Europe,Paris,Transport Helicopter,Aviation,Air,CH-47 Chinook / NH90,1615,On Order,End-of-Life,1982,42,435.59,703477.85,Multi-National,Yes,Yes,1987,2027,40.1
1287,France,FRA,1949,Yes,Yes,Western Europe,Paris,Transport Helicopter,Aviation,Air,CH-47 Chinook / NH90,1379,On Order,Good,2021,3,230.64,318052.56,Multi-National,No,No,2021,2034,81.1
1288,France,FRA,1949,Yes,Yes,Western Europe,Paris,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,1681,Upgrading,Good,2021,3,383.79,645150.99,France,Partial,Yes,2021,2024,55.8
1289,France,FRA,1949,Yes,Yes,Western Europe,Paris,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,539,On Order,Needs Repair,2017,7,56.63,30523.57,France,Partial,No,2022,2029,83.4
1290,France,FRA,1949,Yes,Yes,Western Europe,Paris,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,145,Operational,End-of-Life,1967,57,57.34,8314.3,Multi-National,Yes,Yes,1968,2030,52.8
1291,France,FRA,1949,Yes,Yes,Western Europe,Paris,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,169,Upgrading,Fair,2017,7,327.39,55328.91,USA,No,No,2018,2034,77.7
1292,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,459,Upgrading,Fair,1953,71,70.42,32322.78,USA,Partial,No,1983,2030,70.4
1293,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,650,Upgrading,Needs Repair,1958,66,186.52,121238.0,UK,Yes,Yes,1976,2027,86.8
1294,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,1366,On Order,Good,1958,66,321.0,438486.0,Germany,No,Yes,1977,2034,88.2
1295,France,FRA,1949,Yes,Yes,Western Europe,Paris,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,1650,In Maintenance,Needs Repair,2008,16,410.22,676863.0,France,No,No,2018,2026,96.1
